SampleID;Date;Gene_Target;Absorbance_260nm;Operator_Note
S_001;2024-03-01;BRCA1;1.45;Baseline measurement
S_002;2023-12-15;SEPT2;2.30;Is this 2.3 or 2300?
S_003;2024-03-02;SEPT4;;Device malfunction (Absorbance ERROR)
S_004;2024-03-03;KRAS;1.21;Text format (was: March 3, 2024)
S_005;2024-03-05;MARCH1;1.42;Note the comma decimal (was: 1,42)
S_006;2024-03-04;MARCH2;1.45;Ambiguous date (was: 04/03/2024)
S_007;1985-03-12;MYC;12.5;Y2K Risk (was: 12.03.85)
S_008;;Unknown;;Date missing entirely, Absorbance NaN
S_009;2024-03-05;DEC1;0.05;Excel Serial Number (was: 45355)
S_010;2024-03-05;DEC1;0.05;Excel Serial Number (was: 45355)
S_011;2024-05-02;TP53;;Text mixed in number column (was: Low)
S_012;;BRCA2;1.10;Impossible date (was: 29.02.2023)
S_013;2024-01-01;SEPT9;1.12;Hyphen separator (was: 01-01-2024)
S_014;2023-12-11;AKT1;1.40;Ambiguous Nov 12 vs Dec 11 (was: 11/12/23)
S_015;2024-01-01;MARCH1;0.99;Gene will likely become 1-Mar (was: 0,99)
S_016;2024-03-10;PIK3CA;;Negative absorbance impossible (was: -0.5)
S_017;;MARCH1;1.80;Relative date (was: Today)
S_018;2022-06-06;SEPT14;2.10;Out of sequence (Way back in time)
S_020;;EGFR;1.33;Month 15 does not exist (was: 2024-15-01)
Sample_16;2024-03-10;PIK3CA;;Negative absorbance impossible (was: -0.5)
