SampleID;Date;Gene_Target;Absorbance_260nm;Operator_Note
S_001;2024-03-01;BRCA1;1.45;Baseline measurement
S_005;05.03.24;MARCH1;1,42;Note the comma decimal
S_002;2023-12-15;SEPT2;2.300;Is this 2.3 or 2300?
S_099;01/02/24;TP53;0.88;US or EU Format? (Jan 2nd or Feb 1st)
S_004;March 3, 2024;KRAS;1.21;Text format
S_010;45355;DEC1;0.05;Excel Serial Number (equals 2024-03-05)
S_003;2024-03-02;SEPT4;ERROR;Device malfunction
S_006;04/03/2024;MARCH2;1.4500; Ambiguous date
S_012;29.02.2023;BRCA2;1.1;Impossible date (2023 not a leap year)
S_008;;Unknown;NaN;Date missing entirely
S_007;12.03.85;MYC;12.5;Y2K Risk (1985 or 2085?)
S_015;2024-01-01;MARCH1;0,99;Gene will likely become 1-Mar
S_020;2024-15-01;EGFR;1.33;Month 15 does not exist
S_011;02.Mai.24;TP53;Low;Text mixed in number column
S_013;01-01-2024;SEPT9;1.12;Hyphen separator
S_014;11/12/23;AKT1;1.4;Ambiguous Nov 12 vs Dec 11
Sample_16;2024-03-10;PIK3CA;-0.5;Negative absorbance impossible
S_017;Today;MARCH1;1.8;Relative date (fatal for DB)
S_018;2022-06-06;SEPT14;2.1;Out of sequence (Way back in time)
S_019;04.04.2024;BRCA1;1000;Outlier value
S_021;1990-01-01;CONTROL;0.00;Old control sample?
S_022;03/03/24;MARCH1;1,56;
S_023;45356;SEPT2;2.1;Another Excel Serial
S_024;2024.03.12;BRAF;1.9;Dot separator ISO-ish
S_025;NULL;IDH1;0.7;Explicit SQL NULL string
S_026;2024-03-13;MARCH5;1.2;Gene becomes 5-Mar
S_001;2024-03-01;BRCA1;1.45;Exact Duplicate of Row 1
S_027;2024-03-32;TP53;1.1;Day 32 does not exist
S_028;Oct 31 2023;KRAS;1.44;
S_029;2024-02-28;SEPT10;1.3;Gene becomes 10-Sep
